total_revenue,transaction_count,unique_customers,avg_order_value,revenue_share_pct
6747156.15,19854,3949,18.92,81.5
284661.54,100,9,120.26,3.44
250001.78,319,3,33.45,3.02
221509.47,603,95,23.37,2.68
196626.05,458,87,23.2,2.38
137009.77,69,9,109.17,1.66
55739.4,71,21,29.71,0.67
54756.03,105,31,21.67,0.66
40910.96,119,25,19.77,0.49
36585.41,46,8,79.36,0.44
35340.62,28,8,98.72,0.43
35163.46,40,10,32.41,0.42
28995.76,70,19,19.71,0.35
22326.74,48,12,32.12,0.27
20076.39,33,9,26.52,0.24
18768.14,21,9,48.25,0.23
16890.51,55,15,21.03,0.2
12858.76,20,8,21.05,0.16
10154.32,19,11,25.32,0.12
9120.39,10,1,39.83,0.11
7213.14,24,6,21.15,0.09
6988.4,6,4,28.29,0.08
4710.52,6,4,32.26,0.06
4310.0,7,1,23.68,0.05
3666.38,6,4,24.28,0.04
2660.77,8,4,11.04,0.03
2505.47,10,2,19.73,0.03
1902.28,3,2,27.97,0.02
1730.92,7,4,5.95,0.02
1693.88,1,1,37.64,0.02
1661.06,4,1,47.46,0.02
1291.75,5,1,21.18,0.02
1143.6,1,1,35.74,0.01
1002.31,1,1,17.58,0.01
707.72,5,1,23.59,0.01
548.4,2,2,32.26,0.01
131.17,2,1,13.12,0.0
